product_id,quantity_sold,sale_date,location,discount
1013,4,2024-09-02,Rajshahi,52.17888171373441
1064,9,2024-02-25,Sylhet,52.05998168029811
1011,2,2024-02-07,Dhaka,7.37098186722438
1019,2,2024-09-01,Sylhet,51.219447675960595
1011,9,2024-01-21,Chittagong,82.27440310394937
1077,7,2024-04-19,Dhaka,94.6799277795759
1046,7,2024-04-03,Chittagong,10.668239748173514
1045,1,2024-05-15,Sylhet,63.11652106990708
1001,6,2024-08-18,Dhaka,56.834725079824686
1040,7,2024-01-08,Dhaka,89.03124909481419
1019,6,2024-11-23,Sylhet,75.12440301848716
1076,6,2024-10-16,Dhaka,96.52618691653132
1072,2,2024-09-07,Rajshahi,96.00325375819962
1072,6,2024-12-26,Dhaka,22.56850933452208
1061,4,2024-03-27,Dhaka,72.53508719004222
1012,9,2024-07-22,Rajshahi,53.05230913648944
1061,1,2024-08-06,Chittagong,21.460199521530544
1033,8,2024-08-28,Chittagong,19.486908221740073
1045,5,2024-11-15,Rajshahi,8.10843412662865
1090,1,2024-09-14,Dhaka,79.5545276418689
1092,4,2024-04-18,Sylhet,32.450478062000954
1069,1,2024-09-12,Rajshahi,85.69688353289665
1008,6,2024-10-08,Sylhet,60.83153660232146
1025,2,2024-08-07,Chittagong,67.36333548384607
1091,5,2024-03-23,Rajshahi,29.167374961019664
1046,7,2024-04-16,Sylhet,45.72942793956835
1087,2,2024-03-09,Dhaka,41.23175780831249
1030,6,2024-04-06,Rajshahi,23.56886639246012
1047,6,2024-07-30,Sylhet,83.25121685267925
1087,5,2024-10-12,Rajshahi,62.20845058066211
1049,5,2024-08-24,Rajshahi,3.743197745307014
1047,3,2024-01-08,Chittagong,81.99170193786884
1084,2,2024-10-20,Chittagong,10.603775602859145
1082,7,2024-07-07,Dhaka,40.369643353255924
1018,1,2024-03-21,Chittagong,57.12569016303779
1066,6,2024-04-17,Chittagong,0.7651245661217998
1068,6,2024-11-16,Chittagong,65.2908105442936
1094,3,2024-03-07,Sylhet,65.9702939560257
1033,2,2024-06-22,Rajshahi,65.25263171326468
1036,2,2024-12-11,Chittagong,16.346793810627712
1082,9,2024-12-16,Sylhet,25.57323267735494
1019,5,2024-11-23,Rajshahi,24.737581953274024
1028,7,2024-02-12,Chittagong,96.0066983179637
1040,5,2024-07-05,Chittagong,6.752818722587728
1084,7,2024-10-28,Rajshahi,42.8761507703504
1097,4,2024-07-18,Sylhet,87.1253905820194
1076,8,2024-02-08,Sylhet,76.9465994447716
1015,7,2024-08-07,Dhaka,82.24421246489267
1041,5,2024-11-02,Rajshahi,97.2293584122333
1039,6,2024-01-04,Dhaka,38.72618122731889
1002,5,2024-04-30,Sylhet,30.965527438046113
1063,7,2024-12-01,Chittagong,3.065949015019731
1029,2,2024-03-17,Dhaka,15.001936178986208
1074,5,2024-06-27,Sylhet,56.201465454302415
1066,3,2024-05-12,Sylhet,15.766059505334006
1051,9,2024-11-06,Chittagong,73.63050159809107
1075,6,2024-08-16,Rajshahi,3.7232604915937495
1077,3,2024-10-02,Sylhet,25.94880232378819
1010,7,2024-05-31,Dhaka,69.54531233884886
1014,4,2024-06-12,Chittagong,25.550282423906378
1082,3,2024-10-16,Rajshahi,72.87604642244641
1051,8,2024-04-18,Rajshahi,99.58638754307019
1073,4,2024-05-05,Rajshahi,79.70839554491036
1039,1,2024-08-27,Sylhet,34.183545876100254
1028,6,2024-11-05,Rajshahi,90.05919006282612
1003,1,2024-12-10,Sylhet,5.117973566820943
1084,5,2024-05-25,Chittagong,72.50068244473121
1070,7,2024-09-08,Chittagong,2.3322331562675047
1027,6,2024-07-01,Rajshahi,17.455549535696502
1002,2,2024-11-04,Chittagong,98.75857415385745
1093,4,2024-11-01,Dhaka,36.088491249430696
1038,2,2024-03-12,Dhaka,82.04993781642388
1003,1,2024-08-06,Sylhet,37.6086712835602
1016,3,2024-07-25,Rajshahi,84.00284507978157
1094,3,2024-06-21,Sylhet,96.54395601267743
1040,7,2024-05-20,Chittagong,43.55362434191665
1002,1,2024-09-28,Rajshahi,55.93491918482793
1081,9,2024-08-01,Sylhet,62.863948996356775
1041,6,2024-09-25,Rajshahi,93.48348021752354
1012,4,2024-01-20,Rajshahi,25.67440874345579
1035,3,2024-03-06,Sylhet,61.124937283372674
1065,3,2024-10-29,Rajshahi,32.47202282231425
1055,2,2024-05-26,Chittagong,21.693318018241946
1045,2,2024-06-13,Dhaka,8.492033902321417
1079,5,2024-11-05,Dhaka,62.07108637359489
1090,9,2024-01-06,Rajshahi,88.20854788715684
1085,2,2024-01-14,Dhaka,35.13928888445126
1062,2,2024-05-11,Rajshahi,55.26685361929773
1049,6,2024-12-07,Sylhet,64.21337952941157
1095,2,2024-08-30,Chittagong,41.465017779520394
1025,4,2024-08-18,Dhaka,90.33478503660581
1023,6,2024-08-15,Sylhet,36.27551612011766
1024,5,2024-06-10,Chittagong,12.501082008984366
1038,1,2024-10-09,Dhaka,14.402035805169955
1028,6,2024-09-19,Dhaka,89.08576145077127
1021,1,2024-05-10,Chittagong,98.80080428479597
1054,3,2024-08-12,Sylhet,28.893785057171694
1018,5,2024-09-14,Sylhet,14.360272565471144
1036,5,2024-08-21,Dhaka,48.22122817562094
1099,6,2024-12-01,Chittagong,70.9528063576598
1045,8,2024-11-11,Sylhet,61.2402908102972
1073,5,2024-01-24,Chittagong,95.11081820826126
1053,1,2024-09-27,Chittagong,81.77778839716281
1030,5,2024-04-04,Dhaka,86.89721650640021
1060,3,2024-05-21,Chittagong,54.16671588490702
1098,4,2024-06-30,Chittagong,32.727519333145004
1032,8,2024-07-24,Rajshahi,70.17360104605791
1067,7,2024-03-21,Chittagong,43.90530399513951
1067,5,2024-09-30,Sylhet,28.775424056232456
1028,2,2024-10-02,Dhaka,15.22706856722975
1044,6,2024-07-26,Dhaka,52.78742078895624
1079,6,2024-10-22,Chittagong,59.425356719991875
1041,6,2024-02-08,Chittagong,56.87856826541749
1063,9,2024-10-14,Sylhet,11.654836343355402
1023,8,2024-05-03,Rajshahi,56.99873195387431
1075,8,2024-12-29,Dhaka,16.8414106805141
1048,1,2024-10-09,Rajshahi,66.3714165451469
1032,5,2024-06-28,Sylhet,42.93839966655334
1057,7,2024-04-06,Dhaka,84.87885877391554
1100,6,2024-07-09,Sylhet,77.82657447937787
1033,5,2024-03-14,Chittagong,72.43820515166337
1024,8,2024-09-29,Sylhet,70.07370993343022
1039,3,2024-02-18,Chittagong,56.0488039478102
1034,6,2024-12-02,Rajshahi,6.111357612834434
1056,5,2024-07-28,Dhaka,65.5489623533001
1028,8,2024-04-25,Dhaka,46.69221775637153
1037,4,2024-01-23,Rajshahi,46.9554713993533
1007,8,2024-04-07,Chittagong,37.90221954662697
1068,2,2024-11-23,Dhaka,92.90709148417106
1037,9,2024-11-08,Sylhet,24.945126695243236
1056,9,2024-07-08,Chittagong,31.659445340977964
1065,6,2024-06-30,Dhaka,96.30407827356227
1065,4,2024-05-27,Sylhet,81.0153735276698
1047,4,2024-12-07,Sylhet,1.4086412162869988
1020,6,2024-01-23,Dhaka,90.61075998618739
1019,5,2024-04-14,Rajshahi,22.664729883307032
1029,6,2024-06-11,Rajshahi,70.59325391660634
1074,7,2024-03-07,Dhaka,55.30731073672155
1060,7,2024-10-16,Sylhet,53.6811883602784
1018,9,2024-10-15,Rajshahi,71.79213233927192
1092,8,2024-02-15,Rajshahi,20.718147189443968
1035,6,2024-03-21,Rajshahi,15.902513076642656
1043,6,2024-05-26,Chittagong,65.19126067329519
1095,5,2024-08-09,Rajshahi,29.057922890466227
1091,1,2024-12-08,Dhaka,97.39502076577608
1011,9,2024-01-15,Dhaka,45.15118390746734
1049,9,2024-04-30,Chittagong,11.159702000696525
1038,9,2024-03-18,Chittagong,68.58151661720446
1064,8,2024-11-17,Dhaka,30.615929246613128
1069,3,2024-10-21,Chittagong,14.85874276214022
1008,1,2024-08-28,Rajshahi,42.2823362889921
1034,8,2024-01-18,Sylhet,96.42222780872781
1048,7,2024-09-12,Sylhet,41.143057638712996
1056,5,2024-10-03,Sylhet,34.73337657310635
